처리 단계,처리 항목,대상 파일 / 변수,처리 전 N,처리 후 N,N 변화,처리 내용,처리 기준 / 규칙,산출 파일,비고
01 subset,데이터 선택 / 표본 구성,raw/nia_2024_raw.csv,"12,203","12,203",0,2024 원자료에서 연구 대상 열만 추출하고 year=2024 추가,행 필터링 없음. subset_extraction_log_2024.txt에서 원본/출력 행 수 동일 확인,working/subset/nia_2024_subset.csv,"12,203행, 219열 -> 12,203행, 99열"
01 subset,열 선택 또는 subset,Q34/Q32/Q33/Q33_RE/Q14/Q17/Q20/Q23/Q28~Q30/Q35/D_* / RIM_WT,"12,203","12,203",0,요청 변수 98개 추출 + year 1개 추가,raw에 없는 요청 열은 로그 기록. 현재 누락 컬럼 0개 확인,working/subset/nia_2024_subset.csv,출력 열 수 99
02 rename,변수명 변경(rename),working/subset/nia_2024_subset.csv 전체 매핑 대상,"12,203","12,203",0,연구용 변수명으로 열 이름 변경,값 변경 없음 검증. year 유지. 매핑 대상 누락 0개,working/rename/nia_2024_renamed.csv,열 수 변화 99 -> 99 (+0); rename 단계 열 수 차이 없음
03 clean,결측 및 비해당값 처리,"하위 0/1 문항, *_other_text_raw","12,203","12,203",0,"비해당 공백은 0, 텍스트 공백은 NA 처리","부모 yes/no=0이면 하위 공백을 0으로, 부모=1인데 공백이면 NA. *_text 공백은 NA",working/cleaned/nia_2024_cleaned.csv,행 삭제 없음. 무응답/모름/거절 별도 코드 존재 여부는 코드북상 확인 필요
03 clean,0/1 변수 재코딩,"it_org_any, mgmt_sys_any, iot_use_any, cloud_use_any, data_analysis_use_any, ai_use 등","12,203","12,203",0,"yes/no 문항 1->1, 2->0 변환","코드북의 예=1, 아니오/미보유=2 기준. it_org_any는 Q34 자체 기준이며 하위항목 조합 기준 아님",working/cleaned/nia_2024_cleaned.csv,AI 미활용 기업(ai_use=0)의 AI 하위문항 공백은 0 처리
03 clean,순서형 변수 처리,effect_* 및 it_invest_share_std4,"12,203","12,203",0,"effect 1~5 유지, it_invest_share_std4는 recoded raw 단순 매핑","effect midpoint 3 유지. it_invest_share_std4 = it_invest_share_recoded_raw, cap/std 계산 삭제",working/cleaned/nia_2024_cleaned.csv,effect 변수 이진화 없음
03 clean,가중치 사용 여부,weight_raw -> weight,"12,203","12,203",0,weight clean 변수 생성 및 weight_raw 보존,numeric 변환만 수행. 분석 모델에서 실제 가중치 적용 여부는 후속 분석 스크립트 확인 필요,working/cleaned/nia_2024_cleaned.csv,"analysis_total에 weight 포함. 유효 12,203, 결측 0, 범위 0.9956~59.42, 평균 17.48"
03 clean,표준화 여부,it_invest_share_std4,"12,203","12,203",0,표준화 계산 미적용. 코드북 recoding 값 사용,REQ33 1~4 범주값을 그대로 사용. z-score/scale 표준화 없음,working/cleaned/nia_2024_cleaned.csv,표준화 미적용
03 clean,이상치 처리,전체 clean 변수,"12,203","12,203",0,이상치 제거 없음,"값 범위 검증만 수행(effect 1~5, std4 1~4 등)",working/cleaned/nia_2024_cleaned.csv,"이상치 제거 없음, 값 분포만 확인"
03 clean,병합 처리,해당 없음,해당 없음,해당 없음,해당 없음,병합 없음,단일 2024 원자료 흐름. merge/join 처리 확인되지 않음,해당 없음,병합 없음
04 featured,카운트형 / 합산 변수 생성,"it_invest_sum, ai_use_sum, ai_impl_sum, ai_purpose_sum","12,203","12,203",0,0/1 하위문항 합계 생성,구성 변수 중 하나라도 결측이면 해당 합계 NA. 현재 결측 처리 0건,working/featured/nia_2024_featured.csv,ai_use_sum/ai_impl_sum/ai_purpose_sum은 ai_use=0 하위공백이 0 처리된 뒤 합산
04 featured,파생변수 생성,"it_org_type, it_invest_high, effect_average","12,203","12,203",0,"조직유형, 고투자 여부, 효과 평균 생성",it_org_type은 Q34_1_1~Q34_1_3 조합. effect_average는 6개 effect 변수 모두 존재할 때 평균,working/featured/nia_2024_featured.csv,"effect_average 구성: effect_proc_improve, effect_innov_outcome, effect_decision_improve, effect_internal_cohesion, effect_stakeholders, effect_competitiveness"
04 featured,파생변수 생성,"mgmt_sys_sum, iot_use_sum, cloud_use_sum, data_analysis_sum, dmi","12,203","12,203",0,DMI 관련 합산 변수 생성,각 any 변수를 제외한 하위항목 합계. dmi = 네 합계 변수 합,working/featured/nia_2024_featured.csv,dmi 범위 0~29
05 analysis_total,최종 분석 데이터셋 생성,working/featured/nia_2024_featured.csv,"12,203","12,203",0,분석용 변수만 유지하고 raw/text/불필요 변수 제거,"it_invest_any 정확 제외, *_raw 98개 제거, *_other_text 7개 제거. 행 삭제 없음",working/analysis/nia_2024_analysis_total.csv,"최종 12,203행, 103열; raw/text 컬럼 0개"
