처리 단계,처리 항목,대상 파일 / 변수,처리 전 N,처리 후 N,N 변화,처리 내용,처리 기준 / 규칙,산출 파일,비고
01 subset,표본 구성 및 열 선택,raw/nia_2024_raw.csv; 연구 변수 98개 + year,"12,203","12,203",0,2024 원자료에서 분석에 필요한 열만 추출하고 year=2024 추가,행 필터링 없음; 요청 컬럼 누락 0개,working/subset/nia_2024_subset.csv,219열 → 99열
02 rename,변수명 변경,subset 전체 매핑 대상,"12,203","12,203",0,원 조사 변수명을 연구용 변수명으로 변경,값 변경 없음; year 유지; 매핑 누락 0개,working/rename/nia_2024_renamed.csv,99열 → 99열
03 clean,결측 및 비해당값 처리,"하위 0/1 문항, *_other_text_raw","12,203","12,203",0,"비해당 공백은 0, 텍스트 공백은 NA 처리",부모 yes/no=0이면 하위 공백 0; 부모=1이면 NA; *_text 공백은 NA,working/cleaned/nia_2024_cleaned.csv,행 삭제 없음
03 clean,0/1 재코딩,"it_org_any, ai_use, mgmt_sys_any, iot_use_any, cloud_use_any, data_analysis_use_any 등","12,203","12,203",0,yes/no 문항을 0/1 변수로 변환,"코드북 기준 예/보유=1 → 1, 아니오/미보유=2 → 0",working/cleaned/nia_2024_cleaned.csv,it_org_any는 Q34 자체 기준
03 clean,순서형 및 투자비중 변수 처리,"effect_*, it_invest_share, it_invest_share_std4","12,203","12,203",0,effect 1~5 유지; it_invest_share_std4는 recoded raw 값 사용,midpoint 3 유지; REQ33 1~4 범주값 단순 매핑,working/cleaned/nia_2024_cleaned.csv,순서형 변수 이진화 없음; 표준화 계산 없음
03 clean,가중치 변수 생성,weight_raw → weight,"12,203","12,203",0,weight clean 변수 생성 및 raw 보존,numeric 변환만 수행,working/cleaned/nia_2024_cleaned.csv,최종 데이터에 포함; 모델 적용 여부는 후속 분석 확인 필요
04 featured,합산 및 파생변수 생성,"it_invest_sum, ai_use_sum, ai_impl_sum, ai_purpose_sum, it_org_type, it_invest_high, effect_average","12,203","12,203",0,"0/1 하위문항 합계, 조직유형, 고투자 여부, 효과 평균 생성",구성 변수 결측 시 NA; 현재 결측 처리 0건,working/featured/nia_2024_featured.csv,effect_average는 6개 effect 변수 평균
04 featured,DMI 지표 생성,"mgmt_sys_sum, iot_use_sum, cloud_use_sum, data_analysis_sum, dmi","12,203","12,203",0,디지털 관리/기술 활용 하위항목 합계 및 종합 지표 생성,각 any 변수 제외 후 하위항목 합산; dmi=네 합계 변수 합,working/featured/nia_2024_featured.csv,dmi 범위 0~29
05 analysis_total,최종 분석 데이터셋 생성,featured 전체,"12,203","12,203",0,분석용 변수만 유지하고 raw/text/불필요 변수 제거,it_invest_any 제외; *_raw 98개 및 *_other_text 7개 제거,working/analysis/nia_2024_analysis_total.csv,"최종 12,203행 × 103열"
전체,이상치·병합·표준화 여부,전체 전처리 흐름,"12,203","12,203",0,"이상치 제거, 병합, z-score/scale 표준화는 수행하지 않음",값 범위 검증만 수행; 단일 2024 원자료 흐름,해당 없음,이상치 제거 없음; 병합 없음; 표준화 미적용
